lender_id,country_code,uid,occupation,loan_count,member_since_date
nathaniel7304,US,nathaniel7304,IT Director,8,7/22/2008
louise6563,GB,louise6563,NA,0,7/22/2008
omar9369,NA,omar9369,NA,0,7/22/2008
cassandra5698,CA,cassandra5698,Student,2,7/22/2008
loansforlive,DE,loansforlive,NA,25,7/23/2008
gws5894,US,gws5894,NA,0,7/23/2008
ayaka6612,US,ayaka6612,student,4,7/23/2008
kay7718,GB,kay7718,P/T administrator,56,7/23/2008
deirdre9406,BE,deirdre9406,NA,0,7/24/2008
afzal5606,NA,afzal5606,NA,0,7/24/2008
susan4232,US,susan4232,Personal and Business Coach,2,7/24/2008
arnaud8110,NA,arnaud8110,NA,0,7/24/2008
alison7876,US,alison7876,Educator,29,7/24/2008
marcia4133,NA,marcia4133,NA,0,7/25/2008
unitarianuniversali7228,US,unitarianuniversali7228,church,4,7/25/2008
john4784,US,john4784,Finance,19,7/25/2008
scott55079156,NA,scott55079156,Private Equity,0,7/25/2008
jabari2358,US,jabari2358,"baker, artist",19,7/25/2008
george24072863,NA,george24072863,chef,0,7/26/2008
jennifer24616296,US,jennifer24616296,Special Education Teacher,9,7/26/2008
piachristine8021,DE,piachristine8021,NA,5,7/27/2008
margaret6715,NA,margaret6715,retired,0,7/27/2008
barry6833,US,barry6833,NA,27,7/27/2008
ahilan8741,CA,ahilan8741,Engineer,20,7/28/2008
cass6057,CA,cass6057,Student,19,7/28/2008
reaganbaptist6987,US,reaganbaptist6987,Church,1,2/15/2007
liz3365,NA,liz3365,student,5,2/15/2007
kris37917319,US,kris37917319,Indep contractor/quilter,10,2/15/2007
emily5669,US,emily5669,opera singer,23,2/16/2007
fortune6204,NA,fortune6204,IT Professional,0,2/16/2007
wingtipwalker,US,wingtipwalker,NA,4,2/16/2007
sinbad,NA,sinbad,Company director,0,2/17/2007
tim1329,NA,tim1329,NA,0,2/17/2007
tara2312,US,tara2312,writer,3,2/18/2007
chris9112,NA,chris9112,Business Owner,5,2/18/2007
taramanifest,US,taramanifest,NA,9,2/18/2007
robert3875,US,robert3875,NA,0,2/18/2007
randi8720,US,randi8720,teacher,5,2/18/2007
cecilia7212,US,cecilia7212,"Mom, Wife and Sales Rep",11,2/20/2007
joshuajtm,US,joshuajtm,Urban Missionary,20,2/20/2007
gabriellewallack9782,US,gabriellewallack9782,Television Producer,17,2/21/2007
matt5816,US,matt5816,Brewer,4,2/21/2007
bill7379,NA,bill7379,NA,0,2/22/2007
elizabeth9350,US,elizabeth9350,Manager,10,2/22/2007
luke2986,CA,luke2986,Student,1,7/28/2008
marylou8432,CA,marylou8432,occupational therapist,8,7/28/2008
sergio5089,CA,sergio5089,retired,3,7/28/2008
