"","institution","city","state","yearly","tuition_in","tuition_out","region"
"305","CUNY Bernard M Baruch College","New York","NY",15112,6210,12720,"NA"
"306","CUNY Brooklyn College","Brooklyn","NY",13903,6184,12694,"NA"
"307","College of Staten Island CUNY","Staten Island","NY",14298,6158,12668,"NA"
"308","CUNY City College","New York","NY",14041,6089,12599,"NA"
"309","CUNY Hunter College","New York","NY",14478,6129,12639,"NA"
"310","CUNY John Jay College of Criminal Justice","New York","NY",13308,6059,12569,"NA"
"311","CUNY Lehman College","Bronx","NY",12957,6108,12618,"NA"
"312","CUNY Queens College","Flushing","NY",13676,6207,12717,"NA"
"313","CUNY York College","Jamaica","NY",13967,6096,12606,"NA"
"314","SUNY at Albany","Albany","NY",21249,8040,18360,"NA"
"315","SUNY at Binghamton","Vestal","NY",21966,8144,18464,"NA"
"316","University at Buffalo","Buffalo","NY",20885,8211,20151,"NA"
"317","Stony Brook University","Stony Brook","NY",20611,7995,19935,"NA"
"318","SUNY College of Environmental Science and Forestry","Syracuse","NY",22550,7033,16483,"NA"
"319","SUNY Institute of Technology at Utica-Rome","Utica","NY",19843,7090,16540,"NA"
"320","SUNY College at Brockport","Brockport","NY",19511,7222,16672,"NA"
"321","Buffalo State SUNY","Buffalo","NY",18088,7022,16382,"NA"
"322","SUNY College at Cortland","Cortland","NY",21840,7327,16777,"NA"
"323","SUNY at Fredonia","Fredonia","NY",20802,7400,16850,"NA"
"324","SUNY College at Geneseo","Geneseo","NY",21004,7430,16880,"NA"
"325","State University of New York at New Paltz","New Paltz","NY",20428,7083,16533,"NA"
"326","SUNY Oneonta","Oneonta","NY",20762,7230,16680,"NA"
"327","SUNY College at Oswego","Oswego","NY",21222,7181,16631,"NA"
"328","SUNY College at Potsdam","Potsdam","NY",19829,7174,16624,"NA"
"329","SUNY at Purchase College","Purchase","NY",22381,7573,17023,"NA"
"330","SUNY College at Old Westbury","Old Westbury","NY",15888,6624,15874,"NA"
"331","SUNY College at Plattsburgh","Plattsburgh","NY",20371,7179,16629,"NA"
"332","SUNY Empire State College","Saratoga Springs","NY",19755,6265,15715,"NA"
"333","SUNY Maritime College","Throggs Neck","NY",21493,7109,16559,"NA"
"334","United States Merchant Marine Academy","Kings Point","NY",6603,1032,1032,"NA"
"335","University of Akron Main Campus","Akron","OH",21338,10054,18418,"NA"
"336","Bowling Green State University-Main Campus","Bowling Green","OH",22416,10726,18034,"NA"
"337","Central State University","Wilberforce","OH",17380,6058,13510,"NA"
"338","University of Cincinnati-Main Campus","Cincinnati","OH",25799,10784,25816,"NA"
"339","Cleveland State University","Cleveland","OH",22041,9499,12678,"NA"
"340","Kent State University at Kent","Kent","OH",23995,9816,17776,"NA"
"341","Miami University-Hamilton","Hamilton","OH",17107,5072,14165,"NA"
"342","Miami University-Middletown","Middletown","OH",18054,5072,14165,"NA"
"343","Miami University-Oxford","Oxford","OH",30858,13800,29590,"NA"
"344","Ohio State University-Main Campus","Columbus","OH",24524,10037,25757,"NA"
"345","Ohio University-Main Campus","Athens","OH",23605,10446,19410,"NA"
"346","Shawnee State University","Portsmouth","OH",17742,7177,12291,"NA"
"347","University of Toledo","Toledo","OH",21263,9275,18395,"NA"
"348","Wright State University-Main Campus","Dayton","OH",20762,8542,16546,"NA"
"349","Youngstown State University","Youngstown","OH",17350,8129,8358,"NA"
"350","Cameron University","Lawton","OK",14852,5055,12495,"NA"
"351","University of Central Oklahoma","Edmond","OK",16684,5437,13551,"NA"
"352","East Central University","Ada","OK",13735,5241,12643,"NA"
"353","Langston University","Langston","OK",13531,3815,9239,"NA"
"354","Northeastern State University","Tahlequah","OK",13296,4992,12012,"NA"
"355","Northwestern Oklahoma State University","Alva","OK",13065,5642,11764,"NA"
"356","Oklahoma State University-Main Campus","Stillwater","OK",21338,7442,20027,"NA"
"357","University of Oklahoma-Norman Campus","Norman","OK",23263,8916,21105,"NA"
"358","Southeastern Oklahoma State University","Durant","OK",14050,5315,13440,"NA"
"359","Southwestern Oklahoma State University","Weatherford","OK",16660,5460,11820,"NA"
"360","Eastern Oregon University","La Grande","OR",18959,7530,16755,"NA"
"361","Oregon Institute of Technology","Klamath Falls","OR",18801,8548,22188,"NA"
"362","Oregon State University","Corvallis","OR",22974,8322,23514,"NA"
"363","University of Oregon","Eugene","OR",22390,9763,29788,"NA"
"364","Portland State University","Portland","OR",19843,7878,23088,"NA"
"365","Southern Oregon University","Ashland","OR",18285,7438,19900,"NA"
"366","Western Oregon University","Monmouth","OR",21732,8634,21759,"NA"
"367","Bloomsburg University of Pennsylvania","Bloomsburg","PA",21732,8582,18706,"NA"
"368","California University of Pennsylvania","California","PA",23081,9239,13091,"NA"
"369","Cheyney University of Pennsylvania","Cheyney","PA",21605,8806,13302,"NA"
"370","Clarion University of Pennsylvania","Clarion","PA",20478,9404,13237,"NA"
"371","East Stroudsburg University of Pennsylvania","East Stroudsburg","PA",20282,8991,19115,"NA"
"372","Edinboro University of Pennsylvania","Edinboro","PA",19886,8849,12701,"NA"
"373","Indiana University of Pennsylvania-Main Campus","Indiana","PA",22936,9080,20216,"NA"
"374","Kutztown University of Pennsylvania","Kutztown","PA",23130,8819,18943,"NA"
"375","Lincoln University of Pennsylvania","Lincoln University","PA",22497,9804,15084,"NA"
"376","Lock Haven University","Lock Haven","PA",19145,8899,17023,"NA"
"377","Mansfield University of Pennsylvania","Mansfield","PA",21432,9192,19316,"NA"
"378","Millersville University of Pennsylvania","Millersville","PA",21756,8866,18990,"NA"
"379","Pennsylvania State University-Penn State Erie-Behrend College","Erie","PA",27759,14240,21302,"NA"
"380","Pennsylvania State University-Penn State Lehigh Valley","Center Valley","PA",19456,13602,20278,"NA"
"381","Pennsylvania State University-Penn State Berks","Reading","PA",25931,14240,21302,"NA"
"382","Pennsylvania State University-Penn State Harrisburg","Middletown","PA",26651,14240,21302,"NA"
