"","INSTNM","CITY","STABBR","PREDDEG","HIGHDEG","CONTROL","region","UGDS","UG","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","place"
"120","Indiana State University","Terre Haute","IN",3,4,1,"EAST",10173,NA,19549,8256,17992,"West"
"121","Indiana University-Kokomo","Kokomo","IN",3,4,1,"EAST",2708,NA,15874,6675,17778,"West"
"122","Indiana University-South Bend","South Bend","IN",3,4,1,"EAST",5538,NA,17377,6816,17778,"West"
"123","Indiana University-Bloomington","Bloomington","IN",3,4,1,"EAST",31984,NA,23043,10209,32350,"West"
"124","Indiana University-Northwest","Gary","IN",3,4,1,"EAST",4764,NA,18092,6739,17778,"West"
"125","Indiana University-Southeast","New Albany","IN",3,4,1,"EAST",5699,NA,16753,6700,17778,"West"
"126","Indiana University-East","Richmond","IN",3,4,1,"EAST",3132,NA,15334,6639,17778,"West"
"127","Purdue University-Calumet Campus","Hammond","IN",3,4,1,"EAST",7466,NA,16727,6624,14966,"West"
"128","Purdue University-North Central Campus","Westville","IN",3,4,1,"EAST",3514,NA,13713,7186,17105,"West"
"129","Iowa State University","Ames","IA",3,4,1,"WEST",27112,NA,18820,7726,20278,"West"
"130","University of Iowa","Iowa City","IA",3,4,1,"WEST",21314,NA,21832,8061,26931,"West"
"131","University of Northern Iowa","Cedar Falls","IA",3,4,1,"WEST",10170,NA,19233,7685,17181,"West"
"132","Emporia State University","Emporia","KS",3,4,1,"WEST",3724,NA,15612,5614,17388,"West"
"133","Fort Hays State University","Hays","KS",3,4,1,"WEST",11064,NA,15395,4358,12821,"West"
"134","University of Kansas","Lawrence","KS",3,4,1,"WEST",18731,NA,21971,10107,24873,"West"
"135","Kansas State University","Manhattan","KS",3,4,1,"WEST",19647,NA,20140,8585,21530,"West"
"136","Pittsburg State University","Pittsburg","KS",3,4,1,"WEST",6005,NA,15211,5906,15786,"West"
"137","Washburn University","Topeka","KS",3,4,1,"WEST",5320,NA,16176,5774,12926,"West"
"138","Wichita State University","Wichita","KS",3,4,1,"WEST",11198,NA,14764,6926,14960,"West"
"139","Eastern Kentucky University","Richmond","KY",3,4,1,"EAST",13247,NA,17801,7536,16608,"West"
"140","Kentucky State University","Frankfort","KY",3,4,1,"EAST",2131,NA,18387,6276,15072,"West"
"141","University of Kentucky","Lexington","KY",3,4,1,"EAST",21050,NA,22420,10110,21192,"West"
"142","University of Louisville","Louisville","KY",3,4,1,"EAST",15023,NA,21922,9946,23834,"West"
"143","Morehead State University","Morehead","KY",3,4,1,"EAST",7344,NA,17805,7498,18746,"West"
"144","Murray State University","Murray","KY",3,4,1,"EAST",7956,NA,16397,7044,19164,"West"
"145","Northern Kentucky University","Highland Heights","KY",3,4,1,"EAST",11976,NA,14603,8376,16464,"West"
"146","Western Kentucky University","Bowling Green","KY",3,4,1,"EAST",15780,NA,16538,8722,22248,"West"
"147","Grambling State University","Grambling","LA",3,4,1,"EAST",4100,NA,20881,5950,15118,"West"
"148","Louisiana State University and Agricultural & Mechanical College","Baton Rouge","LA",3,4,1,"EAST",23990,NA,20422,7873,25790,"West"
"149","Louisiana State University-Shreveport","Shreveport","LA",3,4,1,"EAST",2796,NA,15066,5606,5606,"West"
"150","Louisiana Tech University","Ruston","LA",3,4,1,"EAST",7047,NA,16983,7302,18441,"West"
"151","McNeese State University","Lake Charles","LA",3,4,1,"EAST",6777,NA,14823,5701,16603,"West"
"152","University of New Orleans","New Orleans","LA",3,4,1,"EAST",6854,NA,16212,6578,19068,"West"
"153","Nicholls State University","Thibodaux","LA",3,4,1,"EAST",5682,NA,16071,6468,15959,"West"
"154","University of Louisiana at Monroe","Monroe","LA",3,4,1,"EAST",5863,NA,14925,6318,16890,"West"
"155","Northwestern State University of Louisiana","Natchitoches","LA",3,4,1,"EAST",7026,NA,16605,6207,16327,"West"
"156","Southeastern Louisiana University","Hammond","LA",3,4,1,"EAST",11704,NA,15729,5715,17734,"West"
"157","Southern University and A & M College","Baton Rouge","LA",3,4,1,"EAST",5666,NA,17928,6630,8274,"West"
"158","Southern University at New Orleans","New Orleans","LA",3,4,1,"EAST",1782,NA,10889,4911,4911,"West"
"159","University of Louisiana at Lafayette","Lafayette","LA",3,4,1,"EAST",14261,NA,15342,6192,15742,"West"
"160","University of Maine at Farmington","Farmington","ME",3,4,1,"EAST",1858,NA,20415,9167,18255,"West"
"161","University of Maine","Orono","ME",3,4,1,"EAST",8619,NA,22461,10600,27970,"West"
"162","Maine Maritime Academy","Castine","ME",3,4,1,"EAST",994,NA,23673,11950,22770,"West"
"163","University of Southern Maine","Portland","ME",3,4,1,"EAST",6079,NA,22290,8920,21280,"West"
"164","University of Baltimore","Baltimore","MD",3,4,1,"EAST",3479,NA,24835,7838,16288,"West"
"165","Bowie State University","Bowie","MD",3,4,1,"EAST",4313,NA,18581,6971,17538,"West"
